새티커,원래티커,종목명,시장
DOA,7590,동방아그로,KOSPI
DOM,18500,동원금속,KOSPI
KR,10040,한국내화,KOSPI
CME,13700,까뮤이앤씨,KOSPI
BSI,11390,부산산업,KOSPI
KLIP,120115,코오롱인더우,KOSPI
HMECP,725,현대건설우,KOSPI
SACO,1470,삼부토건,KOSPI
SOY,6090,사조오양,KOSPI
SJP,9770,삼정펄프,KOSPI
JBI,1550,조비,KOSPI
DSST,69730,DSR제강,KOSPI
CKS,480370,씨케이솔루션,KOSPI
DYH,16090,대현,KOSPI
DKS,4830,덕성,KOSPI
APCHP,2795,아모레퍼시픽홀딩스우,KOSPI
DYD,24900,디와이덕양,KOSPI
CCN,4540,깨끗한나라,KOSPI
NDPP,3925,남양유업우,KOSPI
UMT,47400,유니온머티리얼,KOSPI
DASC,58730,다스코,KOSPI
UAN,72130,유엔젤,KOSPI
HAL,372910,한컴라이프케어,KOSPI
IGS,129260,인터지스,KOSPI
JI,3780,진양산업,KOSPI
YYP,220,유유제약,KOSPI
BYCP,1465,BYC우,KOSPI
WSG,6980,우성,KOSPI
UNI,910,유니온,KOSPI
KBID,1620,케이비아이동국실업,KOSPI
DSRA,155660,DSR,KOSPI
KOI,2140,고려산업,KOSPI
HOJ,111110,호전실업,KOSPI
HWSOP,9835,한화솔루션우,KOSPI
DAEG,6370,대구백화점,KOSPI
BRK,2760,보락,KOSPI
GIE,92440,기신정기,KOSPI
OB,2630,오리엔트바이오,KOSPI
SWNA,21050,서원,KOSPI
DYPA,92780,DYP,KOSPI
DYM,9190,대양금속,KOSPI
FIS,25560,미래산업,KOSPI
JKP,4910,조광페인트,KOSPI
HRA,378850,화승알앤에이,KOSPI
SFD,4410,서울식품,KOSPI
LOCHP,5305,롯데칠성우,KOSPI
SUNN,4770,써니전자,KOSPI
MAMR,357250,미래에셋맵스리츠,KOSPI
SCW,4450,삼화왕관,KOSPI
CIT,4920,씨아이테크,KOSPI
HEL,93240,형지엘리트,KOSPI
KRSP,7815,코리아써우,KOSPI
MP,17180,명문제약,KOSPI
UNC,11330,유니켐,KOSPI
SAN,41650,상신브레이크,KOSPI
WP,49800,우진플라임,KOSPI
BHB,890,보해양조,KOSPI
YHSP,3465,유화증권우,KOSPI
FIG,7120,미래아이앤지,KOSPI
IDF,14990,인디에프,KOSPI
KME,1210,금호전기,KOSPI
SJM,123700,SJM,KOSPI
SAR,75180,새론오토모티브,KOSPI
KOC,23350,한국종합기술,KOSPI
FBS,133820,화인베스틸,KOSPI
PHHH,10770,평화홀딩스,KOSPI
JBG,950,전방,KOSPI
YTSP,3475,유안타증권우,KOSPI
WMS,11300,우성머티리얼스,KOSPI
YHM,12280,영화금속,KOSPI
SJMH,25530,SJM홀딩스,KOSPI
PHI,90080,평화산업,KOSPI
INSC,6490,인스코비,KOSPI
BGS,26940,부국철강,KOSPI
SBSE,3080,SB성보,KOSPI
SUND,7610,선도전기,KOSPI
SCEN,23960,에쓰씨엔지니어링,KOSPI
BC,2410,범양건영,KOSPI
YHG,12160,영흥,KOSPI
MNK,27740,마니커,KOSPI
GSM,11420,갤럭시아에스엠,KOSPI
AJP,9320,아진전자부품,KOSPI
SKDP,6125,SK디스커버리우,KOSPI
ILJI,20760,일진디스플,KOSPI
SHGLR,481850,신한글로벌액티브리츠,KOSPI
APRO,3060,에이프로젠바이오로직스,KOSPI
SSSE,11230,삼화전자,KOSPI
SGGE,1380,SG글로벌,KOSPI
MOON,8420,문배철강,KOSPI
DLPA,215,DL우,KOSPI
YSC,2920,유성기업,KOSPI
CTM,308170,씨티알모빌리티,KOSPI
JIN,51630,진양화학,KOSPI
DAA,69460,대호에이엘,KOSPI
EI,8250,이건산업,KOSPI
GEUM,8870,금비,KOSPI
EHI,760,이화산업,KOSPI
BJG,5030,부산주공,KOSPI
HWISP,3535,한화투자증권우,KOSPI
ENP,74610,이엔플러스,KOSPI
MASTR,357430,마스턴프리미어리츠,KOSPI
HHD,25750,한솔홈데코,KOSPI
KTPR,145270,케이탑리츠,KOSPI
DYA,2880,디와이에이,KOSPI
TGH,84870,TBH글로벌,KOSPI
KELH,6200,한국전자홀딩스,KOSPI
SHEN,2360,SH에너지화학,KOSPI
EHT,19490,엑시큐어하이트론,KOSPI
KRMO,40,KR모터스,KOSPI
GME,17040,광명전기,KOSPI
SINP,2870,신풍,KOSPI
JIP,10640,진양폴리,KOSPI
SDZ,134790,시디즈,KOSPI
SPPP,19175,신풍제약우,KOSPI
META,118000,메타케어,KOSPI
WNL,5820,원림,KOSPI
SEE,14910,성문전자,KOSPI
DWH,24890,대원화성,KOSPI
STG,465770,STX그린로지스,KOSPI
SEGI,2420,세기상사,KOSPI
KIE,9140,경인전자,KOSPI
MET,90370,메타랩스,KOSPI
BID,6740,블루산업개발,KOSPI
ONT,5320,온타이드,KOSPI
PLY,9810,플레이그램,KOSPI
SBGP,4365,세방우,KOSPI
SGR,13000,세우글로벌,KOSPI
MHE,23150,MH에탄올,KOSPI
DATE,1070,대한방직,KOSPI
TWHH,4870,티웨이홀딩스,KOSPI
DOST,2690,동일제강,KOSPI
HXP,14130,한익스프레스,KOSPI
AN,15260,에이엔피,KOSPI
MNM,5360,모나미,KOSPI
UBP,446070,유니드비티플러스,KOSPI
JND,88790,진도,KOSPI
KLNP,2025,코오롱우,KOSPI
WCM,24070,WISCOM,KOSPI
HCP,9460,한창제지,KOSPI
CHS,33250,체시스,KOSPI
HSC,3680,한성기업,KOSPI
SNL,2820,SUN&L,KOSPI
WIS,10400,우진아이엔에스,KOSPI
DLC,6570,대림통상,KOSPI
DWF,30720,동원수산,KOSPI
HMK,69640,한세엠케이,KOSPI
JYT,44380,주연테크,KOSPI
SHLP,8775,호텔신라우,KOSPI
NXTIA,2355,넥센타이어1우B,KOSPI
NSG,4270,남성,KOSPI
ASCE,12170,아센디오,KOSPI
HNCA,5110,한창,KOSPI
HACO,143210,핸즈코퍼레이션,KOSPI
HJKAP,3495,대한항공우,KOSPI
DSP,2210,동성제약,KOSPI
ENX,11090,에넥스,KOSPI
KSG,25890,한국주강,KOSPI
TWI,1420,태원물산,KOSPI
CEN,9310,참엔지니어링,KOSPI
DASPA,1685,대상우,KOSPI
SKSEP,1515,SK증권우,KOSPI
SHDA,1770,SHD,KOSPI
DKOP,19685,대교우B,KOSPI
GRCHB,5257,녹십자홀딩스2우,KOSPI
COAS,71950,코아스,KOSPI
ESTA,15020,이스타코,KOSPI
WILL,8600,윌비스,KOSPI
KGHH,9440,KC그린홀딩스,KOSPI
IJI,8500,일정실업,KOSPI
LGLHP,108675,LX하우시스우,KOSPI
NXNP,5725,넥센우,KOSPI
DFMP,1795,대한제당우,KOSPI
HYSP,1755,한양증권우,KOSPI
VIV,2070,비비안,KOSPI
STARA,204210,스타에스엠리츠,KOSPI
HTJB,87,하이트진로2우B,KOSPI
TAEYP,4105,태양금속우,KOSPI
AREIR,140910,에이리츠,KOSPI
DASHP,84695,대상홀딩스우,KOSPI
KAN,152550,한국ANKOR유전,KOSPI
NPCP,4255,NPC우,KOSPI
KLGP,3075,코오롱글로벌우,KOSPI
SYSP,145995,삼양사우,KOSPI
JWPB,1067,JW중외제약2우B,KOSPI
DWCP,6345,대원전선우,KOSPI
YYPA,225,유유제약1우,KOSPI
DYNA,145210,다이나믹디자인,KOSPI
DKSP,4835,덕성우,KOSPI
GYEP,12205,계양전기우,KOSPI
JWPP,1065,JW중외제약우,KOSPI
SUNP,4985,성신양회우,KOSPI
NRHHP,325,노루홀딩스우,KOSPI
TYCP,9415,태영건설우,KOSPI
NRPP,90355,노루페인트우,KOSPI
HTJHP,145,하이트진로홀딩스우,KOSPI
HKFP,545,흥국화재우,KOSPI
IYPP,7575,일양약품우,KOSPI
DBCP,5965,동부건설우,KOSPI
KACOP,2995,금호건설우,KOSPI
CHHHP,5745,크라운해태홀딩스우,KOSPI
NSAP,8355,남선알미우,KOSPI
GGIP,14285,금강공업우,KOSPI
DWSP,14825,동원시스템즈우,KOSPI
CCNP,4545,깨끗한나라우,KOSPI
YYPB,227,유유제약2우B,KOSPI
JHCP,2785,진흥기업우B,KOSPI
DONP,1525,동양우,KOSPI
SFDP,4415,서울식품우,KOSPI
CJSA,11155,CJ씨푸드1우,KOSPI
SEEP,14915,성문전자우,KOSPI
JHCB,2787,진흥기업2우B,KOSPI
DONB,1527,동양2우B,KOSPI
HWHC,00088K,한화3우B,KOSPI
CJD,00104K,CJ4우(전환),KOSPI
APCHC,00279K,아모레퍼시픽홀딩스3우C,KOSPI
DVLR,0030R0,대신밸류리츠,KOSPI
LOTHP,00499K,롯데지주우,KOSPI
MASB,00680K,미래에셋증권2우B,KOSPI
KCTB,00781K,코리아써키트2우B,KOSPI
DDKA,00806K,대덕1우,KOSPI
SYB,0120G0,삼양바이오팜,KOSPI
SSEPH,0126Z0,삼성에피스홀딩스,KOSPI
SSTP,02826K,삼성물산우B,KOSPI
SKPA,03473K,SK우,KOSPI
HJKP,18064K,한진칼우,KOSPI
CRCP,26490K,크라운제과우,KOSPI
SKCHP,28513K,SK케미칼우,KOSPI
DSFCA,33626K,두산퓨얼셀1우,KOSPI
DSFCB,33626L,두산퓨얼셀2우B,KOSPI
SAMA,33637K,솔루스첨단소재1우,KOSPI
SAMBA,33637L,솔루스첨단소재2우B,KOSPI
DDEA,35320K,대덕전자1우,KOSPI
TYHHP,36328K,티와이홀딩스우,KOSPI
DLEP,37550K,DL이앤씨우,KOSPI
DLEB,37550L,DL이앤씨2우(전환),KOSPI
LXHHA,38380K,LX홀딩스1우,KOSPI
HWGP,45226K,한화갤러리아우,KOSPI
ECP,86520,에코프로,KOSDAQ
EPM,247540,에코프로비엠,KOSDAQ
ALT,196170,알테오젠,KOSDAQ
RBR,277810,레인보우로보틱스,KOSDAQ
SCP,250,삼천당제약,KOSDAQ
RNI,58470,리노공업,KOSDAQ
KLT,950160,코오롱티슈진,KOSDAQ
ABL,298380,에이비엘바이오,KOSDAQ
HLB,28300,HLB,KOSDAQ
RCB,141080,리가켐바이오,KOSDAQ
EOT,39030,이오테크닉스,KOSDAQ
PPT,87010,펩트론,KOSDAQ
WIP,240810,원익IPS,KOSDAQ
JSE,36930,주성엔지니어링,KOSDAQ
VRN,310210,보로노이,KOSDAQ
CRG,214370,케어젠,KOSDAQ
ISC,95340,ISC,KOSDAQ
RBT,108490,로보티즈,KOSDAQ
HPSP,403870,HPSP,KOSDAQ
WRT,32820,우리기술,KOSDAQ
CLS,214150,클래시스,KOSDAQ
PAB,263750,펄어비스,KOSDAQ
SHE,43260,성호전자,KOSDAQ
SLB,357780,솔브레인,KOSDAQ
DDP,347850,디앤디파마텍,KOSDAQ
OLX,226950,올릭스,KOSDAQ
HMMO,319400,현대무벡스,KOSDAQ
PAD,440110,파두,KOSDAQ
HGL,145020,휴젤,KOSDAQ
SMT,222800,심텍,KOSDAQ
TCK,64760,티씨케이,KOSDAQ
SJS,178320,서진시스템,KOSDAQ
PRC,214450,파마리서치,KOSDAQ
DJC,5290,동진쎄미켐,KOSDAQ
EUT,84370,유진테크,KOSDAQ
MAV,100790,미래에셋벤처투자,KOSDAQ
BHI,83650,비에이치아이,KOSDAQ
SIL,257720,실리콘투,KOSDAQ
STP,237690,에스티팜,KOSDAQ
RFH,218410,RFHIC,KOSDAQ
MZN,140410,메지온,KOSDAQ
HNM,67310,하나마이크론,KOSDAQ
SPG,58610,에스피지,KOSDAQ
BRC,82920,비츠로셀,KOSDAQ
ALN,476830,알지노믹스,KOSDAQ
CTH,68760,셀트리온제약,KOSDAQ
PSK,319660,피에스케이,KOSDAQ
PSKH,31980,피에스케이홀딩스,KOSDAQ
DST,131970,두산테스나,KOSDAQ
DHC,10170,대한광통신,KOSDAQ
WNKH,30530,원익홀딩스,KOSDAQ
KYH,98460,고영,KOSDAQ
TSG,323280,태성,KOSDAQ
DJM,78600,대주전자재료,KOSDAQ
JYP,35900,JYP Ent.,KOSDAQ
SPR,347700,스피어,KOSDAQ
SSTE,101490,에스앤에스텍,KOSDAQ
SME,41510,에스엠,KOSDAQ
TCW,89030,테크윙,KOSDAQ
PKS,140860,파크시스템스,KOSDAQ
STI,99320,쎄트렉아이,KOSDAQ
OSC,39200,오스코텍,KOSDAQ
TSI,131290,티에스이,KOSDAQ
TES,95610,테스,KOSDAQ
LSMS,60370,LS마린솔루션,KOSDAQ
SES,458870,씨어스,KOSDAQ
SPC,38500,삼표시멘트,KOSDAQ
ORT,475830,오름테라퓨틱,KOSDAQ
YC,232140,와이씨,KOSDAQ
AIB,27360,아주IB투자,KOSDAQ
LSM,417200,LS머트리얼즈,KOSDAQ
SHN,437730,삼현,KOSDAQ
LKM,281740,레이크머티리얼즈,KOSDAQ
LNC,290650,엘앤씨바이오,KOSDAQ
SDT,65350,신성델타테크,KOSDAQ
JJS,80220,제주반도체,KOSDAQ
CHB,85660,차바이오텍,KOSDAQ
CMC,183300,코미코,KOSDAQ
QBX,445680,큐리옥스바이오시스템즈,KOSDAQ
HRMH,3380,하림지주,KOSDAQ
JSL,127120,제이에스링크,KOSDAQ
ITN,189300,인텔리안테크,KOSDAQ
CMT,388210,씨엠티엑스,KOSDAQ
HKN,195940,HK이노엔,KOSDAQ
RKH,376900,로킷헬스케어,KOSDAQ
HNMA,166090,하나머티리얼즈,KOSDAQ
PNT,137400,피엔티,KOSDAQ
QRT,115180,큐리언트,KOSDAQ
RMD,491000,리브스메드,KOSDAQ
APB,397030,에이프릴바이오,KOSDAQ
HMBI,48410,현대바이오,KOSDAQ
NCL,7390,네이처셀,KOSDAQ
VM,89970,브이엠,KOSDAQ
HRB,90710,휴림로봇,KOSDAQ
SLBH,36830,솔브레인홀딩스,KOSDAQ
DNL,213420,덕산네오룩스,KOSDAQ
CIS,222080,씨아이에스,KOSDAQ
KMW,32500,케이엠더블유,KOSDAQ
SGN,96530,씨젠,KOSDAQ
SFS,36540,SFA반도체,KOSDAQ
HR,160190,하이젠알앤엠,KOSDAQ
GB,456160,지투지바이오,KOSDAQ
CLB,466100,클로봇,KOSDAQ
SMF,490470,세미파이브,KOSDAQ
CJE,35760,CJ ENM,KOSDAQ
POT,161580,필옵틱스,KOSDAQ
GVS,420770,기가비스,KOSDAQ
ENM,348370,엔켐,KOSDAQ
TKW,23160,태광,KOSDAQ
YRL,388720,유일로보틱스,KOSDAQ
SNS,171090,선익시스템,KOSDAQ
SFA,56190,에스에프에이,KOSDAQ
JNT,204270,제이앤티씨,KOSDAQ
DKP,86450,동국제약,KOSDAQ
KKG,293490,카카오게임즈,KOSDAQ
STC,52020,에스티큐브,KOSDAQ
ITG,124500,아이티센글로벌,KOSDAQ
HVM,295310,에이치브이엠,KOSDAQ
SDR,253450,스튜디오드래곤,KOSDAQ
LNT,328130,루닛,KOSDAQ
SB,14620,성광벤드,KOSDAQ
NMS,121600,나노신소재,KOSDAQ
GMX,82270,젬백스,KOSDAQ
YGE,122870,와이지엔터테인먼트,KOSDAQ
VNT,126340,비나텍,KOSDAQ
SLD,50890,쏠리드,KOSDAQ
SHT,365340,성일하이텍,KOSDAQ
MDP,78160,메디포스트,KOSDAQ
OCT,476060,온코닉테라퓨틱스,KOSDAQ
WQC,74600,원익QnC,KOSDAQ
FST,36810,에프에스티,KOSDAQ
APPC,174900,앱클론,KOSDAQ
TYG,44490,태웅,KOSDAQ
GIN,358570,지아이이노베이션,KOSDAQ
DWA,94170,동운아나텍,KOSDAQ
YJR,56080,유진로봇,KOSDAQ
DAD,32190,다우데이타,KOSDAQ
CMK,241710,코스메카코리아,KOSDAQ
SBD,6730,서부T&D,KOSDAQ
KNI,52400,코나아이,KOSDAQ
QRC,372320,큐로셀,KOSDAQ
DSH,33500,동성화인텍,KOSDAQ
RFM,327260,RF머트리얼즈,KOSDAQ
PSM,9520,포스코엠텍,KOSDAQ
TGN,199800,툴젠,KOSDAQ
CBR,278280,천보,KOSDAQ
JRE,33100,제룡전기,KOSDAQ
NME,348340,뉴로메카,KOSDAQ
ENT,102710,이엔에프테크놀로지,KOSDAQ
GST,83450,GST,KOSDAQ
SCS,252990,샘씨엔에스,KOSDAQ
FPR,368770,파이버프로,KOSDAQ
ISYS,214430,아이쓰리시스템,KOSDAQ
PTC,53610,프로텍,KOSDAQ
TLB,356860,티엘비,KOSDAQ
WMD,112040,위메이드,KOSDAQ
NVC,60250,NHN KCP,KOSDAQ
NXT,348210,넥스틴,KOSDAQ
NEX,225570,넥슨게임즈,KOSDAQ
IVL,389470,인벤티지랩,KOSDAQ
GCH,399720,가온칩스,KOSDAQ
NEOS,253590,네오셈,KOSDAQ
DU,376300,디어유,KOSDAQ
MDT,86900,메디톡스,KOSDAQ
PNO,33790,피노,KOSDAQ
IMB,493280,아이엠바이오로직스,KOSDAQ
ADT,200710,에이디테크놀로지,KOSDAQ
TFE,425420,티에프이,KOSDAQ
HMH,460930,현대힘스,KOSDAQ
HUG,84110,휴온스글로벌,KOSDAQ
SUNG,15750,성우하이텍,KOSDAQ
KLS,102940,코오롱생명과학,KOSDAQ
NTA,486990,노타,KOSDAQ
TMC,475960,토모큐브,KOSDAQ
HLI,24850,HLB이노베이션,KOSDAQ
ALB,53800,안랩,KOSDAQ
DHM,77360,덕산하이메탈,KOSDAQ
EPN,383310,에코프로에이치엔,KOSDAQ
IAM,272290,이녹스첨단소재,KOSDAQ
MKO,59090,미코,KOSDAQ
ANT,25980,아난티,KOSDAQ
SOP,67160,SOOP,KOSDAQ
SAMT,31330,에스에이엠티,KOSDAQ
CMP,41960,코미팜,KOSDAQ
WCP,393890,더블유씨피,KOSDAQ
WNT,336570,원텍,KOSDAQ
PTB,187660,페니트리움바이오,KOSDAQ
CFE,42000,카페24,KOSDAQ
HN,107640,한중엔시에스,KOSDAQ
PTN,468530,프로티나,KOSDAQ
QRX,60280,큐렉소,KOSDAQ
WNM,104830,원익머트리얼즈,KOSDAQ
DHE,25900,동화기업,KOSDAQ
NPS,33640,네패스,KOSDAQ
RBS,90360,로보스타,KOSDAQ
MKE,33160,엠케이전자,KOSDAQ
COS,89890,코세스,KOSDAQ
SEO,46890,서울반도체,KOSDAQ
BTN,488900,비츠로넥스텍,KOSDAQ
KPM,448900,한국피아이엠,KOSDAQ
ITC,287840,인투셀,KOSDAQ
HLC,125490,한라캐스트,KOSDAQ
HYN,45100,한양이엔지,KOSDAQ
OIS,138080,오이솔루션,KOSDAQ
ALM,354320,알멕,KOSDAQ
CTN,89010,켐트로닉스,KOSDAQ
DANA,64260,다날,KOSDAQ
SYC,484590,삼양컴텍,KOSDAQ
ISN,99190,아이센스,KOSDAQ
WTI,41190,우리기술투자,KOSDAQ
HLP,47920,HLB제약,KOSDAQ
SNP,25320,시노펙스,KOSDAQ
YST,122640,예스티,KOSDAQ
GNE,119850,지엔씨에너지,KOSDAQ
ST,39440,에스티아이,KOSDAQ
GMC,36620,감성코퍼레이션,KOSDAQ
WMM,101730,위메이드맥스,KOSDAQ
LE,69540,빛과전자,KOSDAQ
SJE,37460,삼지전자,KOSDAQ
IMN,424870,이뮨온시아,KOSDAQ
VTI,18290,브이티,KOSDAQ
WDX,101160,월덱스,KOSDAQ
IFS,211050,인카금융서비스,KOSDAQ
HSI,114810,한솔아이원스,KOSDAQ
PTK,251970,펌텍코리아,KOSDAQ
KAX,93320,케이아이엔엑스,KOSDAQ
HLS,67630,HLB생명과학,KOSDAQ
DKT,290550,디케이티,KOSDAQ
PMT,168360,펨트론,KOSDAQ
DT,317330,덕산테코피아,KOSDAQ
ZUS,79370,제우스,KOSDAQ
NWZ,95660,네오위즈,KOSDAQ
YG,19210,와이지-원,KOSDAQ
SLJ,215600,신라젠,KOSDAQ
HANC,30520,한글과컴퓨터,KOSDAQ
KPI,78130,국일제지,KOSDAQ
OET,394280,오픈엣지테크놀로지,KOSDAQ
NXB,389650,넥스트바이오메디컬,KOSDAQ
UBL,206650,유바이오로직스,KOSDAQ
TL,340570,티앤엘,KOSDAQ
ECM,230360,에코마케팅,KOSDAQ
BPT,6910,보성파워텍,KOSDAQ
HRK,13030,하이록코리아,KOSDAQ
CPF,64820,케이프,KOSDAQ
HMN,36170,에이치엠넥스,KOSDAQ
IHP,101930,인화정공,KOSDAQ
HTK,98070,한텍,KOSDAQ
HBM,42520,한스바이오메드,KOSDAQ
KCR,34950,한국기업평가,KOSDAQ
FMT,441270,파인엠텍,KOSDAQ
PEN,378340,필에너지,KOSDAQ
KIC,25770,한국정보통신,KOSDAQ
OKS,80580,오킨스전자,KOSDAQ
MGE,215200,메가스터디교육,KOSDAQ
PTRN,91700,파트론,KOSDAQ
DXV,180400,DXVX,KOSDAQ
SAF,89980,상아프론테크,KOSDAQ
EXC,92870,엑시콘,KOSDAQ
AST,450950,아스테라시스,KOSDAQ
HYD,78350,한양디지텍,KOSDAQ
SNC,482630,삼양엔씨켐,KOSDAQ
WRO,46970,우리로,KOSDAQ
SELB,308430,셀비온,KOSDAQ
GNT,228760,지노믹트리,KOSDAQ
ANR,455900,엔젤로보틱스,KOSDAQ
BRT,42370,비츠로테크,KOSDAQ
GRP,318060,그래피,KOSDAQ
LTC,170920,엘티씨,KOSDAQ
WBN,69080,웹젠,KOSDAQ
LGA,73490,LIG아큐버,KOSDAQ
JO,418550,제이오,KOSDAQ
TRB,117730,티로보틱스,KOSDAQ
HEM,376270,HEM파마,KOSDAQ
MCR,241770,메카로,KOSDAQ
UTI,179900,유티아이,KOSDAQ
DIT,110990,디아이티,KOSDAQ
NST,478340,나라스페이스테크놀로지,KOSDAQ
LSS,78020,LS증권,KOSDAQ
HCT,234340,헥토파이낸셜,KOSDAQ
CRS,494120,큐리오시스,KOSDAQ
FCH,220100,퓨쳐켐,KOSDAQ
SBT,389500,에스비비테크,KOSDAQ
GWE,114190,강원에너지,KOSDAQ
SURE,298830,슈어소프트테크,KOSDAQ
CU,78340,컴투스,KOSDAQ
DSC,241520,DSC인베스트먼트,KOSDAQ
AMT,52710,아모텍,KOSDAQ
DME,389260,대명에너지,KOSDAQ
GAB,79940,가비아,KOSDAQ
SBM,304360,에스바이오메딕스,KOSDAQ
ITM,84850,아이티엠반도체,KOSDAQ
SID,91580,상신이디피,KOSDAQ
UNT,86390,유니테스트,KOSDAQ
NPA,330860,네패스아크,KOSDAQ
IBD,41830,인바디,KOSDAQ
GRT,900290,GRT,KOSDAQ
CIM,94360,칩스앤미디어,KOSDAQ
GCC,144510,지씨셀,KOSDAQ
PSE,332570,PS일렉트로닉스,KOSDAQ
XGT,356680,엑스게이트,KOSDAQ
HFR,230240,에치에프알,KOSDAQ
SEC,243840,신흥에스이씨,KOSDAQ
OPC,14940,오리엔탈정공,KOSDAQ
KBT,217730,강스템바이오텍,KOSDAQ
HMD,200670,휴메딕스,KOSDAQ
BL,394800,쓰리빌리언,KOSDAQ
ACT,88800,에이스테크,KOSDAQ
HLX,84990,헬릭스미스,KOSDAQ
JTC,36890,진성티이씨,KOSDAQ
ITP,64290,인텍플러스,KOSDAQ
GRS,402490,그린리소스,KOSDAQ
MDN,41920,메디아나,KOSDAQ
CNC,352480,씨앤씨인터내셔널,KOSDAQ
ACB,3800,에이스침대,KOSDAQ
NTS,85910,네오티스,KOSDAQ
SMG,419530,SAMG엔터,KOSDAQ
SUPR,236200,슈프리마,KOSDAQ
BNX,53030,바이넥스,KOSDAQ
DRS,203650,드림시큐리티,KOSDAQ
SVA,108860,셀바스AI,KOSDAQ
CMR,475400,씨메스로보틱스,KOSDAQ
ANTR,65660,안트로젠,KOSDAQ
SEOH,35890,서희건설,KOSDAQ
MLO,58970,엠로,KOSDAQ
ECD,101360,에코앤드림,KOSDAQ
BDN,314930,바이오다인,KOSDAQ
GTF,204620,글로벌텍스프리,KOSDAQ
JTM,389020,자람테크놀로지,KOSDAQ
OBT,46120,오르비텍,KOSDAQ
SHES,416180,신성에스티,KOSDAQ
EZHH,35810,이지홀딩스,KOSDAQ
HANS,452280,한선엔지니어링,KOSDAQ
YBL,338840,와이바이오로직스,KOSDAQ
INS,462350,이노스페이스,KOSDAQ
HRM,136480,하림,KOSDAQ
MKS,93520,매커스,KOSDAQ
UNS,36200,유니셈,KOSDAQ
GMT,94480,갤럭시아머니트리,KOSDAQ
CRL,365270,큐라클,KOSDAQ
APS,265520,AP시스템,KOSDAQ
AFT,200470,에이팩트,KOSDAQ
FGD,64850,에프앤가이드,KOSDAQ
BPL,99430,바이오플러스,KOSDAQ
KBN,200130,콜마비앤에이치,KOSDAQ
JST,49630,재영솔루텍,KOSDAQ
VTC,43150,바텍,KOSDAQ
WJE,65680,우주일렉트로,KOSDAQ
UNIS,18000,유니슨,KOSDAQ
FNT,95500,미래나노텍,KOSDAQ
LKS,474650,링크솔루션,KOSDAQ
AGL,445090,에이직랜드,KOSDAQ
KHV,60720,KH바텍,KOSDAQ
CYME,160980,싸이맥스,KOSDAQ
SMM,12210,삼미금속,KOSDAQ
CJW,51500,CJ프레시웨이,KOSDAQ
KGE,151860,KG에코솔루션,KOSDAQ
IFX,51370,인터플렉스,KOSDAQ
ICT,456010,아이씨티케이,KOSDAQ
KENC,274090,켄코아에어로스페이스,KOSDAQ
ASTR,67390,아스트,KOSDAQ
OT,322310,오로스테크놀로지,KOSDAQ
HIM,92460,한라IMS,KOSDAQ
EUG,23410,유진기업,KOSDAQ
IRT,54210,이랜텍,KOSDAQ
GFZ,215000,골프존,KOSDAQ
CNT,451760,컨텍,KOSDAQ
HUON,243070,휴온스,KOSDAQ
DTI,45390,대아티아이,KOSDAQ
PNG,472850,폰드그룹,KOSDAQ
NPH,92730,네오팜,KOSDAQ
EYE,448280,에코아이,KOSDAQ
INTO,49070,인탑스,KOSDAQ
KGI,35600,KG이니시스,KOSDAQ
KNJ,272110,케이엔제이,KOSDAQ
SLT,304100,솔트룩스,KOSDAQ
SAT,357550,석경에이티,KOSDAQ
HLT,115450,HLB테라퓨틱스,KOSDAQ
KRC,23760,한국캐피탈,KOSDAQ
YMT,251370,와이엠티,KOSDAQ
NYB,138610,나이벡,KOSDAQ
NIC,36800,나이스정보통신,KOSDAQ
KUK,294570,쿠콘,KOSDAQ
JVM,54950,제이브이엠,KOSDAQ
SPS,452430,사피엔반도체,KOSDAQ
SOS,464080,에스오에스랩,KOSDAQ
UBQH,78070,유비쿼스홀딩스,KOSDAQ
DYE,108380,대양전기공업,KOSDAQ
MDD,226590,엠디바이스,KOSDAQ
GNC,361390,제노코,KOSDAQ
SMC,99440,스맥,KOSDAQ
LBS,61970,LB세미콘,KOSDAQ
NWR,459510,나우로보틱스,KOSDAQ
DVS,194480,데브시스터즈,KOSDAQ
YSF,372170,윤성에프앤씨,KOSDAQ
NPP,144960,뉴파워프라즈마,KOSDAQ
SGA,255220,SG,KOSDAQ
MCT,98120,마이크로컨텍솔,KOSDAQ
LOV,83310,엘오티베큠,KOSDAQ
HVS,126700,하이비젼시스템,KOSDAQ
BIS,86820,바이오솔루션,KOSDAQ
BIA,64550,바이오니아,KOSDAQ
QTS,432720,퀄리타스반도체,KOSDAQ
KI,53300,한국정보인증,KOSDAQ
IJP,94820,일진파워,KOSDAQ
DHP,67080,대화제약,KOSDAQ
BFC,382900,범한퓨얼셀,KOSDAQ
MBE,12860,모베이스전자,KOSDAQ
KAC,17890,한국알콜,KOSDAQ
JUST,417840,저스템,KOSDAQ
MRS,254490,미래반도체,KOSDAQ
DNF,92070,디엔에프,KOSDAQ
KBC,256840,한국비엔씨,KOSDAQ
MDI,267980,매일유업,KOSDAQ
SAMM,18310,삼목에스폼,KOSDAQ
NOVA,194700,노바렉스,KOSDAQ
INT,469610,이노테크,KOSDAQ
PHA,43370,피에이치에이,KOSDAQ
TMB,321550,티움바이오,KOSDAQ
DAEW,5710,대원산업,KOSDAQ
NMG,190510,나무가,KOSDAQ
TZN,462860,더즌,KOSDAQ
